username,ownerage,genderowner,ownersmoking,ownercleanlinees,payment,deposit,term,available,utilities,features,building,featuresmore,location,petslivehere,agerange,gender,smoking,cleanliness,petsallowed,rooms,vacancy,internet,gym,placetype,pool,wifi,ageMin,ageMax,music,guests,drugs,lateNights,washer,dryer,furnished,kitchen,closet,air conditioner,heater,haspet,sleeppattern,alcohol,noise,socializing,cooking,latitude,longitude,foodpref
amanduh96,24,M,False,Clean,"
900",0,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet","Apartment, 
2 Bedroom, 
1 Bath","Air conditioning, Balcony/patio, Basketball courts, Cable/satellite, Covered parking, Dishwasher, Elevator, Fitness center, Garage, High speed Internet, Washer/dryer in unit, Microwave, Parking, Pool, Spa/hot tub, Storage, Tennis courts"," Houston, TX, 77024  ",False,18 - 35,M,True,"Clean, Average",True,2,2,True,True,Apartment,True,True,18,35,False,False,True,True,False,True,False,True,True,True,True,,Early Bird,True,True,Moderately Social,1,29.7589382,-95.3676973,Vegetarian
johnlazo,33,M,True,Clean,"
500",0,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet","House, 4 Bedroom, 2 Bath","Air conditioning, Balcony/patio, Basketball courts, Cable/satellite, Covered parking, Dishwasher, Elevator, Fitness center, Garage, High speed Internet, Washer/dryer in unit, Microwave, Parking, Pool, Spa/hot tub, Storage, Tennis courts"," Katy, TX, 77449  ",False,17 - 50,A,True,"Clean, Average",False,4,4,True,True,House,True,True,17,50,False,False,True,True,False,True,False,True,True,True,True,,Early Bird,False,False,I keep to myself,3,29.7857853,-95.8243955,Non-Vegetarian
Spiritual,45,M,True, Moderately Clean,1000,300,Month to month,2016-11-26,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Master bedroom, Private entrance, Telephone hookup, View","House, 
4 Bedroom, 
2 Bath","Air conditioning, Balcony/patio, Basketball courts, Cable/satellite, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Storage, Yard"," Houston, TX, 77007  ",True,18 - 65,A,True,"Clean, Average",True,4,4,True,False,House,False,True,18,65,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,True,True,I keep to myself,4,29.7589382,-95.3676973,Vegan
Gabe,50,O,True,Clean,"
800",0,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Master bedroom, Private entrance, Telephone hookup, View","House, 4 Bedroom, 2 Bath","Air conditioning, Balcony/patio, Basketball courts, Cable/satellite, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Storage, Yard"," Houston, TX, 77076  ",False,17 - 50,F,True,"Clean, Average, Messy",False,4,4,True,False,House,False,True,17,50,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,I keep to myself,1,29.7589382,-95.3676973,Vegan
Patch1,27,O,True,Clean,800,800,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Cable/satellite hookup, Closet, Furnished, View, Walk-in closet","House, 
5 Bedroom, 
3 Bath","Air conditioning, Cable/satellite, Covered parking, Dishwasher, Fireplace, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Storage, View, Yard"," Houston, TX, 77406  ",False,17 - 50,F,True,"Clean, Average, Messy",True,5,5,True,False,House,False,True,17,50,False,False,True,True,True,True,True,True,True,True,True,,Early Bird,True,True,Moderately Social,6,29.7589382,-95.3676973,Vegetarian
Unicyclegirl,21,M,True, Moderately Clean,450,250,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Balcony/patio, Closet, Furnished","House, 
3 Bedroom, 
2 Bath","Air conditioning, Alarm system, Cable/satellite, High speed Internet, Washer/dryer in unit, Microwave, Pool, Spa/hot tub, Yard"," Katy, TX, 77449  ",True,18 - 65,F,True,"Clean, Average",True,3,3,True,False,House,True,True,18,65,False,False,True,True,False,True,True,True,True,True,True,,Early Bird,True,True,Moderately Social,7,29.7857853,-95.8243955,Vegan
ASkelton79,36,M,True,Clean,"
450",200,Month to month,2016-12-01,"Gas, Water, Trash pickup","Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Furnished, Telephone hookup, View","Apartment, 
3 Bedroom, 
2 Bath","Air conditioning, Balcony/patio, Cable/satellite, Dishwasher, Fitness center, Garage, Laundry facility, Washer/dryer in unit, Microwave, Parking, Pool, Storage, View, Wheelchair access"," Porter, TX, 77365  ",True,18 - 40,M,True,"Clean, Average",True,3,3,False,True,Apartment,True,False,18,40,False,False,True,True,True,True,True,True,True,True,True,,Early Bird,True,True,I keep to myself,3,30.1024397,-95.2296552,Vegan
joseluis,33,M,True,Clean,1250,1250,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Cable/satellite hookup, Closet, Furnished, Master bedroom, Telephone hookup, Walk-in closet","House, 
4 Bedroom, 
3 Bath","Air conditioning, Alarm system, Balcony/patio, Cable/satellite, Dishwasher, Fireplace, Garage, High speed Internet, Laundry facility, Microwave, Parking, Storage, View, Yard"," Houston, TX, 77008  ",False,21 - 50,M,True,"Clean, Average, Messy",True,4,4,True,False,House,False,True,21,50,False,False,True,True,True,False,True,True,True,True,True,,Early Bird,True,True,I keep to myself,1,29.7589382,-95.3676973,Vegan
handydan1962,19,M,True, Moderately Clean,"
750",500,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Cable/satellite hookup, Closet, Furnished, Walk-in closet","House, 
4 Bedroom, 
3 Bath","Air conditioning, Cable/satellite, Dishwasher, High speed Internet, Microwave, Yard"," Katy, TX, 774490804  ",True,21 - 67,M,True,"Clean, Average",True,4,4,True,False,House,False,True,21,67,False,False,True,True,False,False,True,True,True,True,True,,Early Bird,True,True,I keep to myself,2,29.7857853,-95.8243955,Vegan
jay5040,22,O,True,Clean,"
550",200,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Cable/satellite hookup, Closet, Furnished, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Cable/satellite, Dishwasher, High speed Internet, Microwave, Yard"," Tomball, TX, 77375  ",False,17 - 50,A,True,"Clean, Average, Messy",False,4,4,True,False,House,False,True,17,50,False,False,True,True,False,False,True,True,True,True,True,,Early Bird,False,False,Moderately Social,1,30.0971621,-95.6160548,Vegan
ShanHan,28,F,True,Clean,"
300",0,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Private bathroom, Cable/satellite hookup, Closet, Furnished, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Cable/satellite, Dishwasher, High speed Internet, Microwave, Yard"," Houston, TX, 77060  ",False,17 - 50,A,True,"Clean, Average, Messy",False,4,4,True,False,House,False,True,17,50,False,False,True,True,False,False,True,True,True,True,True,,Early Bird,False,False,Moderately Social,5,29.7589382,-95.3676973,Vegetarian
Rod_hop,35,O,True,Clean,"
600",0,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Cable/satellite hookup, Closet, Furnished, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Cable/satellite, Dishwasher, High speed Internet, Microwave, Yard"," Conroe, TX, 77301  ",False,17 - 50,A,True,"Clean, Average, Messy",False,4,4,True,False,House,False,True,17,50,False,False,True,True,False,False,True,True,True,True,True,,Early Bird,False,False,I keep to myself,1,30.3118769,-95.4560511,Vegan
AggieVet2015,38,O,True,Clean,"
500",350,Month to month,2016-12-01,N/A,"Private bedroom, Private bathroom, Cable/satellite hookup","House, 
1 Bedroom, 
1 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," Rosenberg, TX, 77469  ",True,17 - 50,A,True,"Clean, Average",True,1,1,True,False,House,False,True,17,50,False,False,True,False,True,True,False,False,False,True,True,,Early Bird,True,True,I keep to myself,3,29.5571825,-95.8085622,Non-Vegetarian
texian25,54,M,True, Moderately Clean,"
0",0,Month to month,2016-12-01,N/A,"Private bedroom, Private bathroom, Cable/satellite hookup","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," La Marque, TX, 77568  ",False,17 - 50,M,True,"Clean, Average, Messy",False,4,4,True,False,House,False,True,17,50,False,False,True,False,True,True,False,False,False,True,True,,Early Bird,False,False,I keep to myself,6,29.3685674,-94.9713133,Non-Vegetarian
Conroenurse,50,M,True,Clean,"
725",0,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Cable/satellite hookup","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," Houston, TX, 77008  ",False,17 - 50,M,True,Clean,False,4,4,True,False,House,False,True,17,50,False,False,True,False,True,True,False,False,False,True,True,,Early Bird,False,False,I keep to myself,4,29.7589382,-95.3676973,Vegetarian
WilliamA,23,M,True, Moderately Clean,"
700",100,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Cable/satellite hookup, Closet, Furnished","House, 
3 Bedroom, 
2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," Porter, TX, 77365  ",True,17 - 50,A,True,"Clean, Average",True,3,3,True,False,House,False,True,17,50,False,False,True,True,True,True,True,True,True,True,True,,Early Bird,True,True,I keep to myself,4,30.1024397,-95.2296552,Non-Vegetarian
klmol,24,O,False,Clean,"
650",200,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Cable/satellite hookup, Closet, Furnished","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," Houston, TX, 77042  ",False,17 - 50,F,True,"Clean, Average",False,4,4,True,False,House,False,True,17,50,False,False,True,True,True,True,True,True,True,True,True,,Early Bird,False,False,I keep to myself,1,29.7589382,-95.3676973,Non-Vegetarian
KRussell,40,M,False, Moderately Clean,500,500,Month to month,2016-12-01,Trash pickup,"Private bedroom, Closet, Telephone hookup","House, 
3 Bedroom, 
2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," Spring, TX, 77388  ",True,18 - 40,M,True,"Clean, Average",True,3,3,True,False,House,False,True,18,40,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,True,True,Moderately Social,6,30.0798826,-95.4172548,Vegan
Kaylee90,27,F,True,Clean,800,800,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Closet, Telephone hookup","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," Baytown, TX, 77532  ",False,17 - 50,M,True,"Clean, Average",False,4,4,True,False,House,False,True,17,50,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,Moderately Social,0,29.7355047,-94.9774273,Non-Vegetarian
QUIET13,57,M,True,Clean,0,350,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Closet, Telephone hookup","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," Comfort, TX, 78013  ",False,17 - 50,M,True,"Clean, Average",False,4,4,True,False,House,False,True,17,50,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,I keep to myself,7,29.967715,-98.9050336,Vegan
Rene77,42,M,True,Clean,0,150,Month to month,2016-12-01,N/A,"Private bedroom, Closet, Telephone hookup","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," San Antonio, TX, 78201  ",False,17 - 50,F,True,"Clean, Average, Messy",False,4,4,True,False,House,False,True,17,50,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,I keep to myself,2,29.4246002,-98.4951404,Vegan
JustinTime,46,M,False,Clean,0,200,Month to month,2016-12-01,"Electricity, Gas, Water","Private bedroom, Closet, Telephone hookup","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," San Antonio, TX, 78258  ",False,17 - 50,F,True,"Clean, Average, Messy",False,4,4,True,False,House,False,True,17,50,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,I keep to myself,7,29.4246002,-98.4951404,Vegan
Dre0311,34,F,False,Clean,0,500,Month to month,2016-12-01,"Electricity, Water","Private bedroom, Closet, Telephone hookup","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Parking, Yard"," San Antonio, TX, 78209  ",False,17 - 50,M,True,"Clean, Average",False,4,4,True,False,House,False,True,17,50,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,Moderately Social,2,29.4246002,-98.4951404,Vegan
QueenBee2016,21,M,True,Clean,0,250,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Cable/satellite hookup, Closet, Telephone hookup","House, 
4 Bedroom, 
2.5 Bath","Air conditioning, Balcony/patio, Cable/satellite, Dishwasher, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Yard"," New Braunfels, TX, 78130  ",True,20 - 30,A,True,"Clean, Average",True,4,4,True,False,House,False,True,20,30,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,True,True,Moderately Social,0,29.7028266,-98.1257347,Non-Vegetarian
Erika123,58,O,True, Moderately Clean,0,600,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Cable/satellite hookup, Closet, Telephone hookup","House, 4 Bedroom, 2 Bath","Air conditioning, Balcony/patio, Cable/satellite, Dishwasher, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Yard"," San Antonio, TX, 78250  ",False,17 - 50,F,True,"Clean, Average",False,4,4,True,False,House,False,True,17,50,False,False,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,I keep to myself,6,29.4246002,-98.4951404,Vegan
Clayton8460,32,O,True,Clean,"
700",0,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 
4 Bedroom, 
2.5 Bath","Air conditioning, Alarm system, Balcony/patio, Cable/satellite, Dishwasher, Garage, High speed Internet, Microwave, Parking, Yard"," San Antonio, TX, 78245  ",False,17 - 50,A,True,"Clean, Average, Messy",True,4,4,True,False,House,False,True,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,True,True,I keep to myself,6,29.4246002,-98.4951404,Vegan
Bridgett,47,M,False, Moderately Clean,0,550,Month to month,2016-12-01,N/A,"Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Alarm system, Balcony/patio, Cable/satellite, Dishwasher, Garage, High speed Internet, Microwave, Parking, Yard"," Boerne, TX, 78006  ",False,17 - 50,F,True,"Clean, Average",False,4,4,True,False,House,False,True,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,I keep to myself,6,29.7946641,-98.7319702,Vegetarian
Yuli,62,M,False, Moderately Clean,"
600",600,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 
4 Bedroom, 
2 Bath","Air conditioning, Fireplace, Parking, Yard"," San Antonio, TX, 78212  ",False,17 - 50,M,True,"Clean, Average",True,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,True,True,Moderately Social,4,29.4246002,-98.4951404,Vegan
karthi,42,O,True, Moderately Clean,0,150,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Fireplace, Parking, Yard"," San Antonio, TX, 78244  ",False,17 - 50,F,True,"Clean, Average",False,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,Moderately Social,3,29.4246002,-98.4951404,Vegetarian
LAW50,31,F,False, Moderately Clean,"
0",0,Month to month,2016-12-27,"Electricity, Gas, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Fireplace, Parking, Yard"," San Antonio, TX, 78225  ",False,17 - 50,M,True,"Clean, Average, Messy",False,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,I keep to myself,0,29.4246002,-98.4951404,Vegan
Movingman,22,O,True,Clean,"
450",125,Month to month,2016-12-01,"Electricity, Gas, Water","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Fireplace, Parking, Yard"," San Antonio, TX, 78250  ",False,17 - 50,F,True,"Clean, Average, Messy",False,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,I keep to myself,6,29.4246002,-98.4951404,Non-Vegetarian
LyndseyM,35,O,False, Moderately Clean,0,450,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Fireplace, Parking, Yard"," New Braunfels, TX, 78132  ",False,17 - 50,M,True,"Clean, Average, Messy",False,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,I keep to myself,7,29.7028266,-98.1257347,Non-Vegetarian
jake101,20,O,True,Clean,0,200,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Fireplace, Parking, Yard"," New Braunfels, TX, 78130  ",False,17 - 50,A,True,"Clean, Average",False,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,Moderately Social,3,29.7028266,-98.1257347,Vegan
Dave,50,F,True,Clean,0,100,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Fireplace, Parking, Yard"," New Braunfels, TX, 78130  ",False,17 - 50,M,True,Clean,False,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,Moderately Social,3,29.7028266,-98.1257347,Non-Vegetarian
Paul316us,26,O,True, Moderately Clean,"
400",200,Month to month,2016-12-01,Electricity,"Private bedroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 4 Bedroom, 2 Bath","Air conditioning, Fireplace, Parking, Yard"," San Antonio, TX, 78213  ",False,17 - 50,F,True,"Clean, Average",False,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,I keep to myself,7,29.4246002,-98.4951404,Vegan
Superman69,18,M,False, Moderately Clean,"
300",0,Month to month,2016-12-01,N/A,"Private bedroom, Private bathroom, Cable/satellite hookup, Closet, Furnished, Master bedroom, Telephone hookup, Walk-in closet","Dwelling, 
2 Bedroom, 
1 Bath","Air conditioning, Fireplace, Parking, Yard"," Cibolo, TX, 78108  ",True,17 - 50,M,True,"Clean, Average, Messy",True,2,2,False,False,Dwelling,False,False,17,50,False,False,True,True,False,False,True,True,True,True,True,,Early Bird,True,True,I keep to myself,4,29.5707831,-98.2330926,Vegetarian
Cjg78,19,F,True,Clean,"
375",100,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Closet","House, 
1 Bedroom, 
2 Bath","Air conditioning, Fireplace, Parking, Yard"," San Antonio, TX, 78223  ",False,25 - 50,M,True,"Clean, Average",True,1,1,False,False,House,False,False,25,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,True,True,I keep to myself,1,29.4246002,-98.4951404,Vegan
ChuckJonz,48,M,False, Moderately Clean,"
600",250,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Closet","House, 4 Bedroom, 2 Bath","Air conditioning, Fireplace, Parking, Yard"," San Antonio, TX, 78232  ",False,17 - 50,A,True,"Clean, Average",False,4,4,False,False,House,False,False,17,50,False,False,True,True,False,False,False,True,True,True,True,,Early Bird,False,False,I keep to myself,7,29.4246002,-98.4951404,Vegetarian
